site,asset,scale,x,y,z,yaw_deg,W,H,D,role,support,outside_cell
Plant48,FP_Alpine_Grass,0.550,118.25,0.30,-58.78,60.2,3.30,2.20,3.30,Grounded,Ground,false
Plant49,FP_Alpine_Grass,0.550,118.60,0.30,-92.35,61.2,3.30,2.20,3.30,Grounded,Ground,false
Plant50,FP_Alpine_Frosted_Shrub,0.570,127.37,0.30,-90.80,112.8,3.99,2.85,3.99,Grounded,Ground,false
Plant51,FP_Alpine_Frosted_Shrub,0.570,111.33,0.30,-47.86,62.2,3.99,2.85,3.99,Grounded,Ground,false
Plant52,FP_Alpine_Grass,0.550,-107.68,0.30,-62.03,63.1,3.30,2.20,3.30,Grounded,Ground,false
Plant53,FP_Alpine_Grass,0.550,-94.03,0.30,-64.44,114.7,3.30,2.20,3.30,Grounded,Ground,false
Plant54,FP_Alpine_Grass,0.550,-108.57,0.30,-49.51,64.1,3.30,2.20,3.30,Grounded,Ground,false
Plant55,FP_Alpine_Frosted_Shrub,0.570,-124.85,0.30,-88.23,65.1,3.99,2.85,3.99,Grounded,Ground,false
Plant56,FP_Alpine_Grass,0.550,-113.02,0.30,-89.27,116.6,3.30,2.20,3.30,Grounded,Ground,false
Plant57,FP_Alpine_Grass,0.550,-122.22,0.30,-76.91,66.0,3.30,2.20,3.30,Grounded,Ground,false
Plant58,FP_Alpine_Frosted_Shrub,0.570,-86.57,0.30,-10.91,118.5,3.99,2.85,3.99,Grounded,Ground,false
Plant59,FP_Alpine_Frosted_Shrub,0.570,-96.96,0.30,-7.20,67.9,3.99,2.85,3.99,Grounded,Ground,false
Plant60,FP_Alpine_Grass,0.550,135.82,0.30,-21.90,155.7,3.30,2.20,3.30,Grounded,Ground,false
Plant61,FP_Alpine_Frosted_Shrub,0.570,94.80,0.30,-52.50,-48.7,3.99,2.85,3.99,Grounded,Ground,false
Plant62,FP_Alpine_Grass,0.550,117.60,0.30,-67.30,107.0,3.30,2.20,3.30,Grounded,Ground,false
Plant63,FP_Alpine_Frosted_Shrub,0.570,128.30,0.30,-88.50,-97.4,3.99,2.85,3.99,Grounded,Ground,false
Plant64,FP_Alpine_Grass,0.550,127.60,0.30,-1.00,58.3,3.30,2.20,3.30,Grounded,Ground,false
Plant65,FP_Alpine_Frosted_Shrub,0.570,118.20,0.30,-1.50,-146.0,3.99,2.85,3.99,Grounded,Ground,false
Plant66,FP_Alpine_Grass,0.550,74.00,0.30,-88.00,9.6,3.30,2.20,3.30,Grounded,Ground,false
Plant67,FP_Alpine_Frosted_Shrub,0.570,-45.90,0.30,-87.50,165.3,3.99,2.85,3.99,Grounded,Ground,false
Plant68,FP_Alpine_Grass,0.550,-81.20,0.30,-89.50,-39.0,3.30,2.20,3.30,Grounded,Ground,false
Plant69,FP_Alpine_Frosted_Shrub,0.570,42.60,0.30,84.50,116.6,3.99,2.85,3.99,Grounded,Ground,false
Plant70,FP_Alpine_Grass,0.550,50.30,0.30,92.50,-87.7,3.30,2.20,3.30,Grounded,Ground,false
Plant71,FP_Alpine_Grass,0.550,-53.80,0.30,74.20,-136.4,3.30,2.20,3.30,Grounded,Ground,false
Plant72,FP_Alpine_Frosted_Shrub,0.570,-90.70,0.30,72.50,19.3,3.99,2.85,3.99,Grounded,Ground,false
Plant73,FP_Alpine_Frosted_Shrub,0.570,-92.80,0.30,-43.00,-29.4,3.99,2.85,3.99,Grounded,Ground,false
Plant74,FP_Alpine_Grass,0.550,-111.90,0.30,-68.20,126.3,3.30,2.20,3.30,Grounded,Ground,false
Plant75,FP_Alpine_Frosted_Shrub,0.570,-126.30,0.30,-66.50,-78.1,3.99,2.85,3.99,Grounded,Ground,false
Plant76,FP_Alpine_Grass,0.550,-123.50,0.30,-32.20,77.6,3.30,2.20,3.30,Grounded,Ground,false
Plant77,FP_Alpine_Frosted_Shrub,0.570,-96.00,0.30,-21.10,-126.8,3.99,2.85,3.99,Grounded,Ground,false
Plant78,FP_Alpine_Grass,0.550,-81.60,0.30,-89.10,28.9,3.30,2.20,3.30,Grounded,Ground,false
Railing01,FP_Alpine_Railing,0.800,85.20,5.80,33.30,90.0,9.60,3.60,0.80,Stacked,Walkways/TerraceSnow,false
Railing02,FP_Alpine_Railing,0.800,85.20,5.80,42.90,90.0,9.60,3.60,0.80,Stacked,Walkways/TerraceSnow,false
Railing03,FP_Alpine_Railing,0.800,85.20,5.80,52.50,90.0,9.60,3.60,0.80,Stacked,Walkways/TerraceSnow,false
Railing04,FP_Alpine_Railing,0.800,85.20,5.80,62.10,90.0,9.60,3.60,0.80,Stacked,Walkways/TerraceSnow,false
Railing05,FP_Alpine_Railing,0.800,85.20,5.80,71.70,90.0,9.60,3.60,0.80,Stacked,Walkways/TerraceSnow,false
Railing06,FP_Alpine_Railing,0.677,-99.45,8.80,42.81,61.3,8.12,3.05,0.68,Stacked,Walkways/ShelfTop,false
Railing07,FP_Alpine_Railing,0.677,-103.35,8.80,49.94,61.3,8.12,3.05,0.68,Stacked,Walkways/ShelfTop,false
Rock01,FP_Alpine_Snow_Rock,1.000,36.80,0.30,68.90,30.0,11.00,6.00,9.00,Grounded,Ground,false
Rock02,FP_Alpine_Snow_Rock,0.800,29.00,0.30,64.40,-20.0,8.80,4.80,7.20,Grounded,Ground,false
Rock03,FP_Alpine_Snow_Rock_Small,1.000,40.50,0.30,60.60,10.0,5.00,3.50,4.50,Grounded,Ground,false
Rock04,FP_Alpine_Snow_Rock,1.000,-67.80,0.30,69.60,15.0,11.00,6.00,9.00,Grounded,Ground,false
Rock05,FP_Alpine_Snow_Rock_Small,1.400,-31.60,0.30,77.70,-30.0,7.00,4.90,6.30,Grounded,Ground,false
Rock06,FP_Alpine_Snow_Rock_Small,1.300,-102.00,0.30,82.00,0.0,6.50,4.55,5.85,Grounded,Ground,false
Rock07,FP_Alpine_Snow_Rock,1.000,102.30,0.30,-72.50,20.0,11.00,6.00,9.00,Grounded,Ground,false
Rock08,FP_Alpine_Snow_Rock,1.000,92.00,0.30,-82.00,30.0,11.00,6.00,9.00,Grounded,Ground,false
Rock09,FP_Alpine_Snow_Rock_Small,1.400,121.40,0.30,-54.20,0.0,7.00,4.90,6.30,Grounded,Ground,false
Rock10,FP_Alpine_Snow_Rock,0.900,122.00,0.30,-86.00,-10.0,9.90,5.40,8.10,Grounded,Ground,false
Rock11,FP_Alpine_Snow_Rock_Small,1.200,116.00,0.30,-46.50,40.0,6.00,4.20,5.40,Grounded,Ground,false
Rock12,FP_Alpine_Snow_Rock,1.400,-99.40,0.30,-55.00,10.0,15.40,8.40,12.60,Grounded,Ground,false
Rock13,FP_Alpine_Snow_Rock,1.000,-106.70,0.30,-41.80,-25.0,11.00,6.00,9.00,Grounded,Ground,false
Rock14,FP_Alpine_Snow_Rock,1.200,-118.30,0.30,-81.50,5.0,13.20,7.20,10.80,Grounded,Ground,false
Rock15,FP_Alpine_Snow_Rock_Small,1.500,-117.70,0.30,-73.10,15.0,7.50,5.25,6.75,Grounded,Ground,false
Rock16,FP_Alpine_Snow_Rock,1.300,-89.10,0.30,-1.10,25.0,14.30,7.80,11.70,Grounded,Ground,false
Rock17,FP_Alpine_Snow_Rock_Small,1.200,-95.40,0.30,-2.60,-15.0,6.00,4.20,5.40,Grounded,Ground,false
Rock18,FP_Alpine_Snow_Rock,1.000,-91.50,0.30,17.70,0.0,11.00,6.00,9.00,Grounded,Ground,false
Rock19,FP_Alpine_Snow_Rock_Small,1.000,-83.80,0.30,1.00,30.0,5.00,3.50,4.50,Grounded,Ground,false
ShelfNorth01,FP_Alpine_Shelf_North,1.000,-104.75,0.30,50.25,0.0,42.50,10.00,23.50,Grounded,Ground,false
ShelfSouth01,FP_Alpine_Shelf_South,1.000,-121.50,0.30,16.50,0.0,29.00,10.00,15.00,Grounded,Ground,false
Signpost01,FP_Alpine_Signpost,0.800,-88.00,8.80,40.00,-45.0,4.80,5.60,0.80,Stacked,Walkways/ShelfTop,false
Sled01,FP_Alpine_Camp_Sled,1.000,104.00,5.80,36.50,-10.0,5.00,2.00,3.00,Stacked,Walkways/TerraceSnow,false
Tent01,FP_Alpine_Tent,1.000,95.50,5.80,35.50,40.0,8.00,6.00,9.00,Stacked,Walkways/TerraceSnow,false
TerracePost01,FP_Alpine_Terrace_Post,1.000,109.50,0.30,29.00,0.0,2.00,7.50,2.00,Grounded,Ground,false
TerracePost02,FP_Alpine_Terrace_Post,1.000,121.50,0.30,29.00,0.0,2.00,7.50,2.00,Grounded,Ground,false
TerracePost03,FP_Alpine_Terrace_Post,1.000,85.50,0.30,29.00,0.0,2.00,7.50,2.00,Grounded,Ground,false
TerracePost04,FP_Alpine_Terrace_Post,0.500,-128.90,0.30,-5.05,0.0,1.00,3.75,1.00,Grounded,Ground,false
TerracePost05,FP_Alpine_Terrace_Post,0.500,-114.10,0.30,-5.05,0.0,1.00,3.75,1.00,Grounded,Ground,false
TrailPost01,FP_Alpine_Trail_Post,1.000,-15.25,0.30,-58.50,0.0,1.00,3.50,1.00,Grounded,Ground,false
TrailPost02,FP_Alpine_Trail_Post,1.000,-15.25,0.30,-39.00,0.0,1.00,3.50,1.00,Grounded,Ground,false
TrailPost03,FP_Alpine_Trail_Post,1.000,-15.25,0.30,-19.50,0.0,1.00,3.50,1.00,Grounded,Ground,false
TrailPost04,FP_Alpine_Trail_Post,1.000,-15.25,0.30,0.00,0.0,1.00,3.50,1.00,Grounded,Ground,false
TrailPost05,FP_Alpine_Trail_Post,1.000,-15.25,0.30,19.50,0.0,1.00,3.50,1.00,Grounded,Ground,false
TrailPost06,FP_Alpine_Trail_Post,1.000,-15.25,0.30,39.00,0.0,1.00,3.50,1.00,Grounded,Ground,false
TrailPost07,FP_Alpine_Trail_Post,1.000,-15.25,0.30,58.50,0.0,1.00,3.50,1.00,Grounded,Ground,false
TrailPost08,FP_Alpine_Trail_Post,1.000,15.25,0.30,-58.50,0.0,1.00,3.50,1.00,Grounded,Ground,false
TrailPost09,FP_Alpine_Trail_Post,1.000,15.25,0.30,-39.00,0.0,1.00,3.50,1.00,Grounded,Ground,false
TrailPost10,FP_Alpine_Trail_Post,1.000,15.25,0.30,-19.50,0.0,1.00,3.50,1.00,Grounded,Ground,false
TrailPost11,FP_Alpine_Trail_Post,1.000,15.25,0.30,0.00,0.0,1.00,3.50,1.00,Grounded,Ground,false
TrailPost12,FP_Alpine_Trail_Post,1.000,15.25,0.30,19.50,0.0,1.00,3.50,1.00,Grounded,Ground,false
TrailPost13,FP_Alpine_Trail_Post,1.000,15.25,0.30,39.00,0.0,1.00,3.50,1.00,Grounded,Ground,false
TrailPost14,FP_Alpine_Trail_Post,1.000,15.25,0.30,58.50,0.0,1.00,3.50,1.00,Grounded,Ground,false
Woodpile01,FP_Alpine_Woodpile,1.000,131.00,5.80,49.50,90.0,6.00,4.00,6.00,Stacked,Walkways/TerraceSnow,false
